years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
9,39.2,Bachelors,4,852,162,No
5,89.6,Masters,14,526,481,Yes
4,69.9,Bachelors,10,518,190,Yes
3,52.3,High School,4,614,93,No
1,46.1,Bachelors,8,175,214,No
3,87.5,Bachelors,8,599,165,No
14,73.3,Masters,14,756,553,Yes
9,73.7,Masters,17,753,456,Yes
9,87.8,Masters,12,367,435,Yes
2,83.3,Bachelors,5,549,50,No
9,72.3,Bachelors,7,585,324,Yes
15,76.5,Bachelors,12,900,572,Yes
0,55.9,Bachelors,8,159,236,No
7,80.6,High School,8,593,233,No
4,82.4,Bachelors,5,166,136,No
12,60.9,Bachelors,18,818,622,Yes
3,65.2,Bachelors,7,517,111,No
15,61.5,High School,23,725,568,Yes
7,88.5,Masters,9,304,348,Yes
15,93.8,Bachelors,11,889,376,Yes
6,51.2,High School,10,427,237,No
1,90.0,PhD,12,301,228,Yes
0,58.0,High School,8,361,130,No
11,86.6,Masters,9,761,373,Yes
15,80.3,High School,11,647,454,Yes
15,91.1,Masters,12,470,557,Yes
10,67.3,High School,12,795,339,Yes
3,56.1,Masters,6,398,83,No
7,89.9,Bachelors,11,566,388,Yes
11,75.9,Masters,10,653,389,Yes
1,51.6,Bachelors,6,381,139,No
2,55.1,High School,3,439,103,No
11,100.0,Masters,14,605,395,Yes
0,70.0,High School,2,410,56,No
0,59.1,PhD,8,424,166,No
12,95.4,High School,16,867,569,Yes
2,63.1,Bachelors,4,452,30,No
10,68.6,Masters,14,592,324,Yes
4,58.4,Bachelors,9,274,214,No
11,100.0,Bachelors,11,744,315,Yes
2,96.5,Masters,9,450,212,Yes
0,66.0,Masters,5,265,95,No
0,56.5,PhD,7,291,202,No
7,69.6,Bachelors,11,466,360,Yes
9,64.1,Bachelors,8,709,301,No
10,68.2,Bachelors,8,460,381,Yes
11,68.8,Bachelors,10,820,290,Yes
12,84.1,Masters,16,882,515,Yes
12,83.3,Bachelors,10,679,476,Yes
11,77.3,Bachelors,8,681,354,Yes
14,82.2,Bachelors,13,900,418,Yes
13,98.7,Masters,18,735,495,Yes
1,63.6,PhD,7,296,112,Yes
12,82.8,Masters,8,698,316,Yes
2,58.9,Bachelors,4,263,35,Yes
1,86.4,Masters,8,574,196,No
2,57.9,Masters,8,271,196,No
6,73.9,High School,5,555,156,No
0,41.8,High School,0,225,92,No
9,76.2,High School,5,689,192,Yes
7,79.7,Bachelors,14,660,415,Yes
12,100.0,Masters,16,836,609,Yes
9,69.7,Bachelors,12,611,389,Yes
9,58.8,Bachelors,17,439,546,Yes
9,71.2,PhD,15,492,337,Yes
13,100.0,Masters,12,636,459,Yes
1,94.5,Masters,5,403,128,No
2,74.0,Bachelors,6,229,191,No
8,54.6,Bachelors,11,620,218,Yes
6,77.0,High School,5,465,253,Yes
3,49.3,Bachelors,7,335,61,No
9,70.3,Bachelors,9,601,343,Yes
4,72.1,Masters,13,699,308,Yes
1,60.3,High School,2,376,44,No
12,82.5,Bachelors,10,715,442,Yes
10,68.5,Bachelors,12,788,425,Yes
12,100.0,Masters,10,740,440,Yes
7,67.3,Masters,6,641,235,Yes
3,86.1,Masters,8,590,163,Yes
8,53.1,Bachelors,14,645,385,Yes
4,68.7,Bachelors,7,553,210,No
12,58.6,High School,15,900,464,No
8,61.0,Bachelors,12,547,330,Yes
3,59.6,Masters,6,467,190,No
9,100.0,PhD,11,789,423,Yes
4,88.9,Masters,5,570,232,Yes
8,94.1,PhD,10,688,432,Yes
7,75.7,Masters,2,544,132,No
15,85.8,High School,16,842,486,Yes
2,88.0,PhD,3,248,101,No
0,63.5,High School,6,277,151,No
2,65.5,Masters,8,367,172,No
15,100.0,Bachelors,14,727,420,Yes
3,75.7,Bachelors,9,464,144,No
1,66.9,Masters,8,384,179,No
0,50.6,Bachelors,2,482,0,No
6,61.3,Bachelors,9,723,266,No
15,82.5,Bachelors,12,900,391,Yes
7,78.4,Bachelors,8,545,362,Yes
6,89.5,PhD,6,450,210,Yes
13,65.6,Masters,11,593,462,Yes
15,58.3,Bachelors,18,900,630,Yes
4,51.2,Bachelors,9,451,303,No
11,77.1,Masters,8,596,276,Yes
0,75.4,Bachelors,7,426,92,Yes
6,65.3,Bachelors,15,378,393,Yes
12,85.3,Bachelors,15,722,532,Yes
6,79.5,Masters,7,417,432,Yes
8,58.1,Bachelors,11,433,212,Yes
2,83.4,Bachelors,7,258,128,No
8,63.5,Bachelors,12,523,298,Yes
13,100.0,Bachelors,7,754,347,Yes
0,59.4,Masters,11,451,178,No
0,52.4,Bachelors,6,160,150,No
13,66.8,Bachelors,16,709,498,Yes
3,66.5,Bachelors,9,662,245,Yes
15,100.0,Bachelors,21,886,579,Yes
8,83.5,Masters,11,682,351,Yes
5,75.3,Masters,7,649,133,No
12,71.5,Bachelors,15,738,485,Yes
10,86.4,Bachelors,9,541,298,Yes
2,59.4,High School,5,415,221,No
0,60.3,Masters,7,286,125,No
3,74.7,Masters,11,374,304,Yes
11,52.3,Bachelors,17,606,468,Yes
12,83.7,Masters,5,855,280,Yes
8,59.3,Masters,11,714,322,Yes
2,69.4,PhD,4,427,110,No
11,64.1,High School,13,632,353,Yes
8,63.7,Bachelors,4,669,88,Yes
6,45.0,High School,7,621,280,No
11,100.0,Masters,15,682,490,Yes
13,77.1,Masters,8,773,390,Yes
14,79.9,Masters,23,663,646,Yes
15,100.0,High School,10,716,491,Yes
3,72.0,Bachelors,9,412,181,Yes
2,31.0,Bachelors,2,375,37,No
9,100.0,Masters,16,391,460,Yes
14,100.0,Bachelors,14,731,455,Yes
15,100.0,High School,10,900,478,Yes
4,79.3,Masters,10,668,209,Yes
4,49.0,Bachelors,7,600,130,No
2,60.8,Bachelors,5,297,0,No
11,57.8,Bachelors,12,850,432,Yes
8,64.3,Masters,10,519,316,Yes
3,50.6,Masters,10,501,229,No
10,75.6,PhD,9,598,352,Yes
4,68.0,Bachelors,7,592,91,No
3,64.3,PhD,7,506,162,Yes
4,61.9,Masters,5,503,255,No
6,68.9,Masters,10,680,349,Yes
15,100.0,PhD,17,713,574,Yes
8,100.0,Bachelors,7,684,196,No
6,62.7,Bachelors,13,607,310,Yes
12,82.0,High School,15,900,450,Yes
4,56.6,Masters,4,360,120,No
9,90.8,Masters,10,632,305,Yes
9,72.1,Masters,13,582,436,Yes
6,58.8,Bachelors,11,327,307,No
13,100.0,Bachelors,12,761,391,Yes
14,65.2,Bachelors,15,450,514,Yes
9,42.5,Masters,8,539,275,Yes
4,76.5,Bachelors,9,302,269,Yes
2,63.5,PhD,9,278,169,No
6,59.8,Bachelors,11,496,298,Yes
12,100.0,Bachelors,9,652,301,Yes
10,92.2,Masters,14,900,447,Yes
10,76.6,Bachelors,13,521,310,Yes
1,44.4,High School,3,205,50,No
14,92.2,Bachelors,17,900,610,Yes
11,49.0,High School,12,665,330,Yes
8,73.3,PhD,10,485,308,Yes
9,78.7,Masters,12,718,412,Yes
9,78.7,Bachelors,7,453,311,Yes
11,81.1,Masters,17,853,485,Yes
0,42.6,High School,4,292,92,No
12,99.1,Masters,12,620,450,Yes
5,50.2,PhD,4,315,165,Yes
6,69.1,Masters,8,396,215,No
13,75.7,Bachelors,12,817,438,Yes
12,96.7,Bachelors,17,734,485,Yes
7,60.1,High School,10,486,260,No
9,85.8,Masters,11,544,382,Yes
8,78.5,Bachelors,16,588,398,Yes
1,32.0,Bachelors,3,192,19,No
10,84.0,PhD,15,603,390,Yes
9,49.4,Bachelors,16,568,374,Yes
1,60.3,High School,3,231,97,No
4,50.0,High School,8,540,249,No
12,99.3,Bachelors,9,716,435,Yes
4,58.3,High School,5,366,122,No
5,55.9,Bachelors,8,301,304,Yes
2,79.5,Bachelors,1,444,111,No
7,58.4,Bachelors,5,513,216,Yes
15,100.0,Masters,15,635,550,Yes
12,88.5,Bachelors,8,754,314,Yes
0,55.8,Masters,8,232,153,No
5,47.5,Bachelors,8,588,249,No
3,82.1,Bachelors,4,340,16,No
0,72.5,PhD,8,223,163,No
14,69.4,High School,16,649,457,Yes
6,73.2,Bachelors,8,564,137,Yes
8,92.3,Masters,13,595,385,Yes
12,86.9,Masters,10,863,402,Yes
3,67.1,Bachelors,4,301,52,No
3,79.0,Bachelors,5,604,123,Yes
5,94.3,Masters,6,585,124,Yes
11,81.5,Masters,13,799,384,Yes
14,60.9,High School,10,840,369,No
2,37.5,High School,4,573,44,No
12,71.1,Bachelors,18,889,582,Yes
11,65.5,Bachelors,17,692,502,Yes
5,42.3,Bachelors,8,531,216,No
6,97.2,Bachelors,13,707,438,Yes
10,85.4,Bachelors,15,585,393,Yes
9,67.6,Bachelors,10,577,389,Yes
9,82.5,PhD,10,760,248,Yes
2,34.7,Bachelors,6,323,236,No
6,86.9,Bachelors,12,469,354,Yes
13,54.3,Bachelors,15,653,451,Yes
2,76.7,PhD,10,316,270,Yes
12,57.7,Masters,17,599,571,Yes
12,79.0,Masters,12,539,357,Yes
1,78.1,Bachelors,5,421,152,No
11,58.7,Masters,17,613,550,Yes
13,81.3,Bachelors,10,683,400,Yes
9,84.9,Bachelors,12,592,385,Yes
3,74.2,Masters,8,401,257,Yes
11,84.3,Masters,20,766,549,Yes
7,82.7,Masters,12,610,298,Yes
12,76.1,Masters,9,836,405,Yes
14,100.0,PhD,14,900,477,Yes
8,49.3,Bachelors,12,639,350,No
6,86.9,Bachelors,10,318,320,No
0,55.8,High School,4,311,137,No
2,74.5,Masters,7,326,158,No
12,93.4,Bachelors,10,676,348,Yes
11,91.6,Masters,8,584,333,Yes
13,71.3,Bachelors,19,900,495,Yes
8,69.2,Bachelors,14,329,314,Yes
14,59.2,High School,11,809,386,Yes
11,75.0,Bachelors,17,683,374,Yes
0,66.1,Masters,5,474,203,No
8,78.1,High School,10,678,329,Yes
7,77.4,Bachelors,9,579,249,Yes
0,26.7,High School,6,462,229,No
5,59.1,Bachelors,7,390,248,No
4,55.6,Bachelors,7,460,264,No
5,47.8,Bachelors,7,427,165,No
9,66.7,Masters,15,653,328,Yes
11,79.5,Bachelors,12,757,337,Yes
12,100.0,Bachelors,19,624,634,Yes
15,77.0,Masters,11,900,540,Yes
12,64.6,Bachelors,17,900,514,Yes
12,72.5,Bachelors,17,846,524,Yes
14,90.6,Bachelors,13,835,488,Yes
4,83.9,Bachelors,10,471,232,Yes
15,90.0,Masters,12,760,586,Yes
5,45.8,Bachelors,15,540,214,No
4,50.8,Masters,5,585,249,No
10,87.8,PhD,11,900,380,Yes
11,94.4,Bachelors,7,900,313,No
4,92.7,Bachelors,7,481,317,No
3,45.8,Bachelors,4,338,183,No
2,63.6,Bachelors,8,352,125,No
2,49.8,Masters,10,452,245,No
3,53.8,Masters,5,428,215,No
8,58.8,Bachelors,17,673,425,Yes
1,54.5,Bachelors,4,384,16,No
14,67.8,High School,13,627,466,Yes
8,100.0,Masters,10,499,271,Yes
0,54.4,Masters,4,445,120,No
13,100.0,Masters,13,889,456,Yes
14,75.6,Bachelors,13,806,496,Yes
14,100.0,Masters,17,809,496,Yes
0,62.6,Bachelors,9,561,124,No
4,78.1,Bachelors,4,589,179,No
5,58.6,Bachelors,10,628,277,Yes
5,82.1,Bachelors,10,388,245,No
2,70.3,Masters,12,174,301,No
15,85.6,Masters,20,900,633,Yes
6,48.8,High School,5,474,176,No
8,77.4,PhD,12,878,363,Yes
10,72.7,Bachelors,15,753,531,Yes
11,96.3,Masters,11,767,307,Yes
9,75.8,Masters,14,593,410,Yes
15,58.7,Bachelors,11,875,475,Yes
15,100.0,Masters,18,721,529,Yes
7,90.9,Bachelors,8,568,259,Yes
5,42.5,Bachelors,11,570,351,No
11,100.0,Masters,15,690,365,Yes
7,96.2,Masters,9,558,322,Yes
11,73.8,Masters,16,715,506,Yes
4,52.5,Masters,10,597,299,Yes
7,87.3,Bachelors,12,388,393,Yes
9,55.0,Bachelors,13,706,486,Yes
11,77.0,PhD,16,730,519,Yes
3,43.8,Bachelors,6,441,125,No
9,79.3,Masters,15,591,407,Yes
7,93.5,Bachelors,13,423,215,Yes
9,84.9,Masters,10,559,379,Yes
11,94.8,Bachelors,10,581,315,Yes
1,61.7,PhD,7,359,159,Yes
11,84.7,Masters,11,822,418,Yes
11,68.6,PhD,11,622,388,Yes
4,59.5,High School,4,394,155,No
8,66.1,Masters,6,408,197,No
3,64.8,Masters,8,327,257,No
15,87.8,Masters,25,606,736,Yes
10,80.3,PhD,12,530,363,Yes
5,94.6,High School,6,546,206,Yes
14,100.0,High School,12,837,402,Yes
0,78.7,Bachelors,3,208,0,No
8,95.9,High School,7,422,271,Yes
0,86.3,PhD,8,264,153,Yes
4,65.2,Bachelors,9,558,249,No
3,61.6,Bachelors,9,357,250,No
12,80.5,High School,11,704,409,Yes
11,76.3,Bachelors,14,713,283,Yes
15,71.9,Bachelors,21,750,737,Yes
12,81.4,High School,14,638,436,Yes
12,58.0,Bachelors,13,655,504,Yes
13,85.6,Bachelors,9,757,319,Yes
2,54.1,PhD,7,450,288,No
12,80.3,Bachelors,10,900,351,Yes
5,70.4,Bachelors,10,410,223,Yes
1,61.7,PhD,11,396,216,No
2,40.6,Masters,5,559,178,No
15,77.2,PhD,9,795,527,Yes
4,79.9,PhD,15,524,216,Yes
14,77.1,Bachelors,16,829,653,Yes
8,85.7,Masters,7,612,260,Yes
1,59.6,Bachelors,3,408,103,No
9,72.5,Bachelors,15,610,431,Yes
7,80.5,Masters,13,632,419,Yes
13,73.4,Bachelors,11,655,416,Yes
1,69.3,Masters,8,363,156,No
10,75.0,Masters,9,734,337,Yes
12,100.0,Bachelors,14,800,514,Yes
4,52.2,Masters,11,466,307,No
6,64.1,Bachelors,6,460,228,No
7,66.7,Bachelors,6,663,197,Yes
0,41.0,Masters,3,472,7,No
5,78.4,Bachelors,10,504,370,No
0,54.8,Masters,6,539,157,No
1,23.8,Bachelors,4,262,35,No
15,97.9,Bachelors,8,654,391,Yes
14,79.7,Masters,14,712,459,Yes
0,59.7,Masters,6,219,184,No
10,87.7,Bachelors,8,517,313,No
4,60.0,Bachelors,7,284,271,Yes
9,73.7,Masters,22,690,532,Yes
14,100.0,High School,8,855,308,Yes
8,44.9,Masters,11,707,331,No
5,48.2,Bachelors,9,711,308,No
10,64.9,Masters,7,627,237,Yes
10,100.0,PhD,12,647,421,Yes
0,47.8,Bachelors,6,396,182,No
12,88.9,Masters,10,525,312,Yes
0,54.1,Masters,5,519,14,No
1,72.3,Masters,10,353,246,No
8,73.3,Bachelors,13,644,405,Yes
2,69.0,Masters,7,324,205,No
14,100.0,Masters,11,601,359,Yes
0,67.9,Masters,2,419,45,No
4,58.2,Masters,10,515,239,No
15,92.2,Bachelors,11,794,490,Yes
6,100.0,PhD,11,596,370,Yes
5,76.0,Bachelors,10,520,336,No
11,77.3,High School,13,588,450,Yes
0,36.9,Bachelors,6,357,152,No
4,76.4,Bachelors,8,510,252,Yes
14,98.6,Bachelors,13,574,387,Yes
4,70.2,Bachelors,10,501,46,Yes
5,64.7,High School,8,538,332,No
2,100.0,Masters,8,543,265,Yes
4,73.8,High School,9,436,354,No
6,88.1,Bachelors,11,469,262,Yes
4,62.0,High School,6,372,185,No
4,59.0,High School,4,388,196,No
4,75.0,Bachelors,5,495,214,No
9,77.3,Masters,12,646,319,Yes
9,82.2,PhD,8,536,276,Yes
2,72.2,Masters,6,550,95,No
0,53.6,Masters,6,449,65,No
4,68.8,Bachelors,4,517,92,No
13,84.7,Bachelors,18,852,538,Yes
8,83.5,High School,9,618,288,Yes
13,78.1,Masters,16,756,548,Yes
0,23.0,High School,4,255,0,No
2,60.6,Masters,8,493,260,No
12,87.5,Bachelors,17,648,430,Yes
12,96.0,Bachelors,12,845,322,Yes
3,60.6,PhD,6,652,154,Yes
13,95.4,Masters,16,750,544,Yes
0,78.3,Masters,6,311,11,No
0,72.5,Masters,2,446,16,No
7,63.4,Masters,7,644,212,Yes
15,81.0,Masters,10,802,364,Yes
1,73.5,PhD,10,466,282,Yes
11,100.0,Bachelors,22,753,563,Yes
14,89.5,Masters,14,804,451,Yes
7,72.8,Masters,12,686,367,Yes
6,49.0,Bachelors,8,360,249,No
9,73.8,Masters,12,754,386,Yes
9,72.3,PhD,18,429,524,Yes
1,59.9,Bachelors,4,357,97,No
5,44.8,Bachelors,6,560,209,No
5,62.6,Bachelors,2,565,163,No
2,50.1,Masters,4,349,41,No
10,95.4,Masters,10,900,351,Yes
1,42.1,High School,4,668,89,No
11,70.9,Bachelors,18,639,419,Yes
0,57.2,High School,7,373,113,No
5,64.4,Masters,7,449,198,No
11,100.0,Bachelors,14,546,390,Yes
4,79.5,Bachelors,10,393,272,Yes
13,87.5,Masters,16,819,502,Yes
13,84.5,High School,12,677,469,Yes
10,42.2,Bachelors,8,542,283,Yes
8,92.0,Bachelors,10,624,240,Yes
0,65.2,Bachelors,3,150,56,No
15,86.4,Bachelors,10,817,468,Yes
14,100.0,PhD,15,745,561,Yes
14,99.6,Masters,22,900,687,Yes
6,67.0,Masters,10,542,204,No
14,98.7,PhD,12,866,428,Yes
4,81.2,Bachelors,12,469,288,Yes
4,72.3,Bachelors,5,505,257,Yes
13,79.7,Bachelors,16,718,587,Yes
1,67.7,Masters,4,360,91,No
10,100.0,Masters,15,769,454,Yes
2,73.3,Bachelors,5,432,157,No
6,52.1,Bachelors,18,418,337,Yes
5,76.3,Bachelors,13,483,338,Yes
15,94.3,Bachelors,7,900,411,Yes
11,100.0,Masters,17,623,541,Yes
1,60.0,Bachelors,8,356,188,No
5,69.5,PhD,8,455,343,Yes
1,39.0,Bachelors,4,340,55,No
1,52.8,Masters,7,480,227,No
1,85.1,PhD,9,397,166,Yes
13,94.0,PhD,15,868,475,Yes
14,79.5,High School,12,528,398,Yes
10,96.9,Bachelors,20,696,522,Yes
2,77.8,Bachelors,8,331,167,No
14,74.5,Bachelors,9,695,392,Yes
1,81.3,Masters,2,264,13,No
3,46.1,PhD,2,435,56,No
8,80.4,Bachelors,17,325,447,Yes
5,72.6,Bachelors,11,504,221,No
0,74.7,Bachelors,4,299,140,No
7,81.0,Masters,8,435,201,Yes
14,89.3,PhD,6,864,276,Yes
11,77.0,Bachelors,12,735,414,Yes
13,100.0,Bachelors,15,626,482,Yes
6,74.5,Masters,12,616,331,Yes
9,88.2,Masters,19,661,627,Yes
2,31.2,Bachelors,8,375,23,No
0,48.8,Masters,4,150,48,No
4,80.8,PhD,7,463,203,Yes
12,61.0,Masters,14,767,395,Yes
3,75.5,Masters,5,309,93,No
9,64.6,Bachelors,16,681,457,Yes
7,59.7,Masters,14,378,425,Yes
0,46.6,Bachelors,4,510,13,No
9,98.4,Bachelors,12,431,455,Yes
0,58.0,High School,4,150,192,No
11,65.8,Bachelors,19,634,618,Yes
3,75.1,Bachelors,8,363,217,No
7,83.9,Bachelors,5,600,181,Yes
4,63.5,Masters,8,220,320,No
1,77.6,Masters,6,315,178,No
5,82.6,Bachelors,12,517,365,Yes
4,78.3,Bachelors,7,305,227,Yes
1,53.1,Masters,7,384,120,No
12,63.8,Bachelors,5,630,313,Yes
13,65.6,PhD,9,706,381,Yes
10,67.7,Bachelors,14,503,432,Yes
10,75.7,Masters,10,513,286,Yes
15,78.7,High School,13,847,525,Yes
10,80.5,Masters,12,549,451,Yes
2,91.2,Masters,9,566,201,Yes
14,87.9,PhD,14,871,528,Yes
8,80.3,PhD,17,381,503,Yes
6,42.2,Bachelors,17,592,446,Yes
6,100.0,Masters,8,391,114,Yes
15,67.8,Bachelors,20,836,681,Yes
14,78.6,Masters,9,900,445,Yes
10,87.9,Bachelors,9,763,308,Yes
5,74.9,Masters,9,596,275,Yes
15,100.0,PhD,22,525,687,Yes
7,82.3,Bachelors,8,390,255,Yes
3,62.3,Bachelors,9,355,203,No
7,87.2,Bachelors,10,675,286,Yes
3,84.7,Masters,10,403,364,Yes
7,61.6,Bachelors,14,314,424,Yes
8,95.4,PhD,12,661,439,Yes
2,61.9,Masters,8,238,33,No
15,89.7,Masters,11,860,390,Yes
2,67.4,Masters,10,288,244,No
10,67.3,High School,11,563,311,Yes
12,82.5,PhD,12,747,304,Yes
15,100.0,Masters,22,858,539,Yes
1,44.1,PhD,10,307,204,No
12,65.6,Bachelors,6,789,291,No
9,89.4,Masters,7,532,280,Yes
2,55.9,High School,5,402,3,No
2,80.1,Masters,13,445,355,Yes
4,74.6,Masters,9,398,325,Yes
4,49.2,Masters,8,562,159,No
1,64.2,Masters,4,210,35,No
11,87.5,Bachelors,15,732,497,Yes
9,86.5,PhD,13,735,442,Yes
12,82.0,PhD,14,668,538,Yes
5,58.9,High School,7,435,250,No
4,64.6,PhD,10,488,199,Yes
5,47.6,Bachelors,13,649,303,Yes
0,39.3,Masters,7,360,126,No
4,71.4,Bachelors,2,412,127,No
8,67.9,PhD,13,668,343,Yes
11,88.1,Bachelors,17,827,474,Yes
9,66.6,Bachelors,4,625,232,Yes
13,63.8,Bachelors,20,780,540,Yes
1,53.4,Bachelors,3,163,24,No
0,92.7,Masters,4,348,75,No
13,82.1,Bachelors,17,768,550,Yes
9,88.9,Masters,6,624,233,Yes
12,91.5,PhD,16,456,474,Yes
10,60.2,Masters,12,530,516,Yes
8,99.0,Masters,12,446,428,Yes
9,71.8,Bachelors,9,736,380,Yes
8,53.8,Bachelors,6,578,311,Yes
14,77.8,Bachelors,16,856,604,Yes
8,65.9,High School,3,478,231,Yes
5,86.2,PhD,14,468,342,Yes
14,75.3,Bachelors,19,828,512,Yes
7,100.0,PhD,14,481,431,Yes
13,64.9,High School,18,895,508,Yes
10,90.4,Masters,13,738,488,Yes
14,55.9,Bachelors,16,768,548,Yes
15,81.1,High School,12,841,465,Yes
12,90.8,Masters,24,729,605,Yes
0,40.7,Bachelors,3,516,87,No
9,100.0,Masters,13,774,360,Yes
3,73.8,Masters,9,528,148,Yes
0,52.7,Bachelors,3,419,47,No
7,85.4,PhD,7,430,159,Yes
0,48.6,Bachelors,8,377,207,No
2,84.0,Masters,6,261,145,No
12,96.7,Bachelors,17,615,461,Yes
3,72.9,Masters,7,439,207,Yes
14,94.7,Bachelors,11,717,374,Yes
14,63.3,Bachelors,19,773,646,Yes
14,100.0,Bachelors,18,900,543,Yes
7,70.0,Bachelors,10,442,351,Yes
5,82.9,Bachelors,12,478,354,Yes
13,98.5,Masters,13,705,489,Yes
9,94.4,Masters,12,757,448,Yes
11,59.3,High School,14,734,314,Yes
6,55.7,Bachelors,16,604,472,Yes
13,100.0,Bachelors,10,900,433,Yes
7,44.2,High School,10,594,265,Yes
1,43.0,Bachelors,4,266,157,No
12,77.6,High School,15,637,496,Yes
9,83.7,PhD,13,542,343,Yes
13,79.1,Masters,11,709,289,Yes
10,82.2,High School,7,695,381,Yes
7,80.5,High School,12,344,325,Yes
2,65.0,Masters,5,260,53,No
6,65.5,Bachelors,6,638,249,No
2,64.9,Masters,6,379,44,No
14,85.5,PhD,15,787,371,Yes
6,47.8,Masters,12,656,401,Yes
13,88.0,Bachelors,22,626,636,Yes
10,92.7,Masters,13,659,409,Yes
14,90.7,PhD,13,811,466,Yes
11,49.3,Masters,13,659,390,Yes
12,76.7,Masters,12,762,388,Yes
1,73.1,Bachelors,11,337,325,No
9,53.9,Bachelors,10,635,228,Yes
5,81.7,Masters,9,554,228,Yes
2,62.3,PhD,5,507,72,No
2,65.0,Masters,9,346,152,Yes
14,79.0,Masters,13,603,512,Yes
15,70.5,Bachelors,21,784,685,Yes
8,95.0,Bachelors,13,498,512,Yes
6,81.7,Bachelors,12,455,394,Yes
4,75.2,Bachelors,4,523,167,Yes
11,96.9,Masters,12,755,303,Yes
9,83.0,Bachelors,12,483,372,Yes
6,87.4,Masters,12,474,281,Yes
8,67.3,Masters,8,377,257,No
0,78.2,Bachelors,5,283,218,No
6,88.8,Bachelors,8,570,205,No
5,77.0,Masters,12,437,371,Yes
9,78.7,PhD,13,710,458,Yes
13,68.9,Masters,17,856,605,Yes
11,78.4,High School,12,853,491,Yes
8,94.3,High School,14,746,413,Yes
0,40.1,Bachelors,3,441,14,No
12,96.8,Bachelors,16,742,449,Yes
3,60.2,Masters,10,543,190,No
8,71.5,Masters,11,528,329,Yes
3,45.9,Bachelors,11,295,221,No
9,64.2,Bachelors,7,590,262,Yes
2,71.2,Bachelors,1,526,36,No
8,92.6,PhD,17,437,487,Yes
12,85.0,Bachelors,14,710,454,Yes
1,55.7,Masters,5,418,51,No
14,68.9,Bachelors,14,748,527,Yes
3,68.2,Masters,8,546,262,Yes
14,80.0,Bachelors,18,880,563,Yes
5,70.7,Bachelors,9,470,238,No
1,58.4,Masters,10,313,43,No
14,84.8,Masters,15,550,410,Yes
7,73.9,Bachelors,3,641,372,No
7,76.8,Bachelors,15,295,443,Yes
0,75.9,Bachelors,3,469,53,No
11,74.4,Bachelors,8,900,291,No
2,73.4,Masters,7,265,177,No
9,100.0,PhD,10,581,330,Yes
8,77.6,High School,8,641,224,No
4,83.0,Bachelors,13,487,408,Yes
5,58.2,Bachelors,8,483,254,No
3,52.7,Bachelors,10,441,270,Yes
9,73.1,Bachelors,6,492,236,Yes
15,90.5,Masters,11,720,397,Yes
1,75.6,Bachelors,6,376,155,Yes
10,70.3,Masters,13,418,358,Yes
7,73.9,Masters,10,682,331,Yes
10,100.0,PhD,16,614,528,Yes
12,92.2,PhD,13,672,471,Yes
5,71.1,Masters,12,534,268,Yes
4,76.6,PhD,7,322,195,Yes
8,56.6,Bachelors,9,560,344,Yes
0,40.3,Bachelors,5,544,194,No
4,37.2,High School,7,544,296,No
5,74.4,Masters,12,682,327,Yes
4,86.8,PhD,7,586,150,Yes
5,79.0,Bachelors,9,546,216,Yes
5,88.4,Masters,7,417,221,Yes
6,95.1,Masters,12,457,407,Yes
15,97.2,PhD,25,750,761,Yes
3,66.3,Masters,12,384,278,Yes
13,100.0,PhD,19,855,579,Yes
10,67.0,Bachelors,7,666,336,No
13,65.8,Bachelors,13,777,497,Yes
13,78.4,Bachelors,13,832,387,Yes
13,76.7,Bachelors,19,656,627,Yes
14,81.7,High School,16,793,631,Yes
7,62.5,Masters,17,595,407,Yes
6,78.8,Masters,7,484,194,Yes
8,68.7,Masters,8,508,282,Yes
6,87.9,Bachelors,10,523,364,Yes
2,43.6,Bachelors,9,311,273,No
2,59.4,Bachelors,3,561,97,No
14,76.0,High School,14,719,471,Yes
7,78.7,Masters,12,529,321,Yes
4,79.4,Bachelors,7,486,78,No
3,63.0,High School,4,323,173,No
7,73.3,Masters,20,815,559,Yes
14,91.4,High School,15,661,588,Yes
5,87.6,PhD,13,425,160,Yes
1,63.5,Bachelors,4,527,159,No
3,76.8,PhD,9,457,218,Yes
11,84.7,High School,15,747,463,Yes
10,56.6,Masters,17,616,418,Yes
3,58.2,Bachelors,7,468,114,No
14,94.9,Masters,11,849,493,Yes
5,63.1,Bachelors,11,579,424,Yes
5,63.2,Bachelors,7,518,265,No
0,66.9,Masters,4,379,160,No
13,89.5,Bachelors,15,545,511,Yes
7,74.0,High School,7,558,341,No
5,55.6,Bachelors,6,723,188,Yes
2,44.0,Masters,6,310,186,No
13,95.6,Bachelors,11,644,389,Yes
8,62.4,Bachelors,11,451,339,Yes
1,42.8,High School,6,422,151,No
14,75.7,Masters,25,837,618,Yes
10,98.5,Masters,10,253,435,Yes
7,74.7,Bachelors,8,617,313,Yes
9,80.6,Bachelors,11,619,419,Yes
2,67.3,High School,6,491,150,No
12,80.9,Bachelors,14,627,560,Yes
11,94.7,Bachelors,12,711,431,Yes
4,47.5,Bachelors,7,560,238,No
5,51.2,Bachelors,9,555,275,Yes
9,65.9,PhD,8,794,327,Yes
5,69.3,High School,5,736,149,No
3,74.8,Masters,6,517,327,No
2,54.4,Bachelors,7,315,160,No
3,60.0,Bachelors,7,250,215,Yes
0,80.3,Masters,4,452,67,No
